Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Acrocephalus concinens,13.9,NA,3.2,2.9,21.6,56
Acrocephalus dumetorum,NA,NA,NA,NA,NA,62.25
Acrocephalus familiaris,17.1,9.55,3.4,3.5,21.35,60.5
Acrocephalus gracilirostris,18.2,NA,3.6,3.5,23.6,65.5
Acrocephalus griseldis,21.2,NA,4.1,3.8,24.8,81
Acrocephalus hiwae,35.65,20.9,5.1,4.9,30.3,89
Acrocephalus kerearako,21.3,11.7,4.4,4.2,27.2,73
Acrocephalus longirostris,NA,NA,NA,NA,NA,NA
Acrocephalus luscinius,35.2,23.8,4.5,4.8,29.7,79.1
Acrocephalus melanopogon,NA,NA,NA,NA,NA,57
Acrocephalus mendanae,30.5,NA,5.1,5.1,29.5,98
Acrocephalus newtoni,18.3,NA,3.7,3.5,25.5,65.5
Acrocephalus orientalis,21.6,NA,NA,4.8,25.8,79
Acrocephalus orinus,17,9.7,3.85,NA,21.9,57.5
Acrocephalus paludicola,NA,NA,NA,NA,NA,62.5
Acrocephalus palustris,NA,NA,NA,NA,NA,69
Acrocephalus percernis,29.8,17.9,5,5.2,30.15,100.5
Acrocephalus rehsei,21.2,12,4.2,3.8,27.9,71.5
Acrocephalus rimitarae,24.6,13.6,4.2,4.1,29.4,84.5
Acrocephalus rodericanus,NA,NA,3.25,2.9,23.2,60.25
Acrocephalus rufescens,20.6,11.9,4.5,4,27.6,73
Acrocephalus schoenobaenus,NA,NA,NA,NA,NA,65.5
Acrocephalus scirpaceus,NA,NA,NA,NA,NA,66
Acrocephalus sechellensis,17.3,NA,4,3.3,24.3,64.5
Acrocephalus sorghophilus,NA,NA,3.4,3.8,23.6,71
Acrocephalus stentoreus,24.4,NA,4.5,4.7,27.1,79
Acrocephalus syrinx,24.8,NA,4.4,4.2,26.5,77
Acrocephalus taiti,20.5,12.1,4.1,4.05,29.5,82
Acrocephalus tangorum,14.55,8.45,3.6,2.8,21.15,53.5
Acrocephalus vaughani,19.8,NA,4.2,3.8,28,77
Acropternis orthonyx,NA,NA,4.4,NA,36.1,93
Acryllium vulturinum,41.5,NA,NA,NA,94,301
Actenoides bougainvillei,53.5,38.75,14.15,16.15,19.7,129
Actenoides capucinus,56,NA,NA,NA,NA,150
Actenoides concretus,49.35,37.65,12.6,13.45,14.45,110
Actenoides excelsus,49.7,38,14.6,17.5,19.2,126.5
Actenoides hombroni,46.9,NA,13.7,14.5,18.5,124
Actenoides lindsayi,46,NA,12.6,13.1,18.5,105
Actenoides monachus,52,NA,NA,NA,NA,141
Actenoides princeps,45,NA,NA,NA,NA,113
Actenoides regalis,NA,NA,NA,NA,NA,115
Actinodura egertoni,16.9,NA,4.3,5.1,28,85
Actinodura radcliffei,20.6,10.3,4.6,6.3,28.2,87
Actinodura ramsayi,20.3,NA,4.6,6.1,28.7,88.5
Actinodura sodangorum,18.2,10.3,4.7,5.6,31,85.5
Actitis hypoleucos,30.7,NA,NA,NA,NA,109
Actitis macularius,25.8,NA,2.7,3.2,24,100
Actophilornis africanus,36.2,NA,4.6,6.1,66.6,157
Actophilornis albinucha,33.7,NA,4.5,6.2,66,171
Adelomyia melanogenys,NA,NA,NA,NA,NA,NA
Aechmophorus clarkii,75.1,NA,7.6,11.5,77.6,190
Aechmophorus occidentalis,71.7,52,6.2,10.15,70.85,184
Aegithalos annamensis,NA,NA,NA,NA,NA,NA
Aegithalos bonvaloti,7.55,4.9,2.5,2.6,16.35,54.5
Aegithalos caudatus,NA,NA,NA,NA,NA,63
Aegithalos concinnus,7.4,NA,2.45,2.95,15.25,48.5
Aegithalos fuliginosus,7.65,4.4,2.15,3,15.65,55.25
Aegithalos glaucogularis,7.5,4.9,2.65,3.2,15.9,53.75
Aegithalos iouschistos,8.1,NA,2.3,2.9,16.6,56
Aegithalos iredalei,NA,NA,NA,NA,NA,NA
Aegithalos leucogenys,7.6,4.8,2,3.3,16.25,53
Aegithalos niveogularis,9.3,NA,2.6,2.9,17.9,59
Aegithina lafresnayei,23.6,14.85,5.1,6.4,20.15,70.5
Aegithina nigrolutea,15.4,NA,3.7,3.8,17.9,65
Aegithina tiphia,17.35,NA,4.3,4.45,19.3,61.5
Aegithina viridissima,15.9,NA,4.2,4.3,17.7,62
Aegolius acadicus,18.6,NA,6.6,10,23.5,NA
Aegolius funereus,18.7,NA,NA,NA,23,168.5
Aegolius harrisii,21.7,12.3,7.4,12.25,27.7,NA
Aegolius ridgwayi,18.4,11.6,7.4,10.8,22.8,136
Aegotheles affinis,17.3,6.3,5.1,4.3,19.9,133.3
Aegotheles albertisi,11.6,4.2,3.2,4,18.8,114
Aegotheles archboldi,12.95,3.6,3.45,2.6,18.65,116.5
Aegotheles bennettii,15.5,5.6,4.35,3.75,19.05,122.5
Aegotheles crinifrons,24.6,NA,8.7,6.1,25.1,NA
Aegotheles cristatus,14,NA,4,NA,23.1,NA
Aegotheles insignis,18.6,6.05,4,4.05,21.35,165
Aegotheles savesi,21.6,6.6,7.1,NA,32.5,163
Aegotheles tatei,20,7.4,7.5,5,16.1,145.8
Aegotheles wallacii,17.8,5.4,3.9,4,18.8,120
Aegypius monachus,88.1,60.7,28.15,39.8,134.5,732.5
Aepypodius arfakianus,36.4,NA,11.7,17.8,82.6,268
Aepypodius bruijnii,33.6,22.4,13.5,19.9,100,284
Aerodramus bartschi,5.2,2.4,2.1,2.1,8.4,NA
Aerodramus brevirostris,6.2,3.4,4,2.4,NA,124
Aerodramus elaphrus,6.4,2,2.05,1.65,8.55,113.5
Aerodramus francicus,6.2,1.8,2,1.3,9.5,110
Aerodramus fuciphagus,7,2.2,2.3,2,9.2,110.5
Aerodramus hirundinaceus,6.3,1.95,2.15,1.6,8.5,115
Aerodramus infuscatus,6.35,2.4,2.7,1.85,8.05,107.5
Aerodramus inquietus,7.15,2.8,2.05,2.25,NA,113.35
Aerodramus leucophaeus,6.7,2,1.8,1.7,8.7,NA
Aerodramus maximus,8.1,3.75,2.9,2.5,11.85,129
Aerodramus mearnsi,6.05,1.8,2.1,1.7,9.1,107.5
Aerodramus nuditarsus,NA,NA,NA,NA,NA,NA
Aerodramus orientalis,7.6,3.7,2.9,2.6,10.9,125.2
Aerodramus papuensis,8.4,3.6,3.25,2.5,11.35,133.35
Aerodramus pelewensis,5.45,2.65,2.2,1.9,8.95,107.4
Aerodramus salangana,6.85,2.15,2.3,2.15,10.05,113.5
Aerodramus sawtelli,6.9,2.5,1.7,1.7,8.5,116
Aerodramus spodiopygius,6.6,2.1,2.05,1.65,8.15,117
Aerodramus terraereginae,6.55,2.3,1.95,1.9,8.7,110
Aerodramus unicolor,6.6,NA,2.2,NA,9.5,114
Aerodramus vanikorensis,6.75,2.35,2.05,1.95,9.25,113
Aerodramus vulcanorum,7.05,2.4,2.2,1.95,9.45,120
Aerodramus whiteheadi,8.7,3,2.9,2.2,10.7,136
Aeronautes andecolus,7,NA,2.4,NA,8,141
Aeronautes montivagus,6.4,3.2,2.05,2.45,8.1,115.5
Aeronautes saxatalis,6.9,2.95,2.7,2.4,10.85,141
Aethia cristatella,20.2,NA,5.6,10.5,27,139
Aethia psittacula,19.95,8.95,6.3,12.6,29.45,145.5
Aethia pusilla,15.8,NA,5,6.3,18.9,94
Aethia pygmaea,15.45,6.1,5,7.45,21.9,112.5
Aethopyga bella,15,NA,2.9,2.7,12.5,40
Aethopyga boltoni,20.2,15.7,3.4,3.3,15.3,49
Aethopyga christinae,17.35,12.4,3.5,3.5,13.95,47.75
Aethopyga duyvenbodei,20.9,NA,3.8,3.5,16.7,53
Aethopyga eximia,22.9,NA,3.4,3.1,15.8,54
Aethopyga flagrans,19.1,NA,3.2,3.1,14.9,48
Aethopyga gouldiae,18,11.8,3.2,2.8,13.85,55
Aethopyga guimarasensis,NA,NA,NA,NA,NA,NA
Aethopyga ignicauda,21.5,NA,3.6,3,15.5,56
Aethopyga latouchii,17.7,11.85,3,2.9,13.6,47.5
Aethopyga linaraborae,22.45,16.35,3.35,3.2,15.3,52.4
Aethopyga magnifica,NA,NA,NA,NA,NA,NA
Aethopyga mystacalis,16.3,11.1,3.05,3.25,13.3,47.75
Aethopyga nipalensis,22.4,16.45,3.4,3.15,13.25,49
Aethopyga primigenia,21.35,16.55,3,3.35,15.75,51.3
Aethopyga pulcherrima,20.3,NA,3.6,3.1,15.2,47
Aethopyga saturata,21.9,NA,3.3,3,14.2,51
Aethopyga shelleyi,16.7,NA,3.3,2.6,13.4,48
Aethopyga siparaja,NA,NA,NA,NA,NA,50
Aethopyga temminckii,16.3,NA,3,2.7,14,52
Aethopyga vigorsii,22.45,16.5,3.9,3.4,15.85,57
Afropavo congensis,38.1,NA,9.8,9.3,95.4,294.9
Afrotis afra,35.7,NA,8.9,8.3,88.7,290
Afrotis afraoides,34.5,NA,9.1,8.1,88.5,281
Agamia agami,163,NA,12.4,17.2,99,280
Agapornis canus,13.7,NA,7.4,12.1,12.7,92
Agapornis fischeri,18.8,NA,11.1,16.8,14.7,93
Agapornis lilianae,16.1,NA,9.4,14.4,13.8,89
Agapornis nigrigenis,16.1,NA,10,14.8,13,93
Agapornis personatus,19.1,NA,10.6,NA,14.4,97
Agapornis pullarius,16.65,14.25,9.1,12.95,11.3,90.5
Agapornis roseicollis,19.4,NA,10.5,17.5,13.8,101
Agapornis swindernianus,15.6,NA,8.5,12.3,11.2,93
Agapornis taranta,18.9,NA,11.9,18.6,13.8,100
Agelaioides badius,NA,NA,NA,8.4,27.1,92.5
Agelaioides fringillarius,17.7,NA,NA,9.5,23.5,89.5
Agelaius assimilis,23.8,14.9,5.3,8.5,26.6,93
Agelaius humeralis,18.8,NA,4.6,7.2,21.8,106
Agelaius phoeniceus,23,NA,5.6,8.6,28.2,123
Agelaius tricolor,22.45,14.65,4.85,7.3,26.6,113.5
Agelaius xanthomus,19.6,13.95,4.35,6.8,22.1,101.5
Agelastes meleagrides,28.3,NA,10,10.5,74.2,217
Agelastes niger,27,NA,11,9.7,70,211
Agelasticus cyanopus,24.2,16.55,5.1,7.9,25.1,88
Agelasticus thilius,23.8,NA,4.5,7.2,26.3,94
Agelasticus xanthophthalmus,23.75,16.75,5.65,7.65,28.75,91
Aglaeactis aliciae,20,NA,2.2,2,8.3,83
Aglaeactis castelnaudii,23.2,NA,2.9,2.1,NA,74
Aglaeactis cupripennis,22.4,NA,NA,NA,NA,82
Aglaeactis pamela,NA,NA,NA,2.4,7.05,68.5
Aglaiocercus berlepschi,NA,NA,2.15,2.1,NA,60.5
Aglaiocercus coelestis,19,NA,2,1.8,5.9,65.7
Aglaiocercus kingii,NA,NA,NA,NA,NA,NA
Agraphospiza rubescens,13.2,NA,6.8,7.5,17.4,78
Agricola infuscatus,17.95,10.45,4.3,4.65,25.15,104
Agricola pallidus,15.8,NA,NA,NA,20.7,90
Agriornis albicauda,32,NA,NA,NA,39.7,141.5
Agriornis lividus,34.6,NA,NA,NA,38.2,127.5
Agriornis micropterus,33.5,NA,NA,NA,33.65,120.05
Agriornis montanus,31.2,NA,NA,NA,32.9,132
Agriornis murinus,22.2,NA,NA,NA,27.7,96.95
Agropsar philippensis,17.25,NA,5,4.95,24.45,104.5
Agropsar sturninus,18,NA,5.1,5.3,25.6,106
Ailuroedus buccoides,28.7,NA,8.8,12.2,38.1,129
Ailuroedus crassirostris,33.4,NA,9.6,14.55,NA,158.5
Ailuroedus melanotis,37.7,NA,10.6,15.9,45.8,156
Aimophila notosticta,15.75,9.4,5.3,6.15,23.6,67
Aimophila rufescens,18.3,NA,6.2,9.3,26,74
Aimophila ruficeps,15.15,8.25,4.15,5,19.4,58.75
Aix galericulata,32.6,NA,13.5,10.8,34.7,221
