Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Coeligena lutetiae,42,NA,NA,NA,NA,NA
Coeligena orina,35.8,NA,NA,NA,NA,74
Coeligena osculans,36.65,32.2,2.3,2.6,NA,76.2
Coeligena phalerata,32.9,NA,1.55,2.2,5.8,71.5
Coeligena prunellei,31.9,26.95,2.7,2.35,5.9,81
Coeligena torquata,NA,NA,NA,NA,NA,NA
Coeligena violifer,NA,NA,NA,2.5,NA,73
Coeligena wilsoni,35.7,NA,2.7,2.3,6.1,73
Coenocorypha aucklandica,61.5,51,5.2,7.85,24.4,100
Coenocorypha barrierensis,51.2,44.6,4.2,7.5,21.3,103
Coenocorypha huegeli,58.3,NA,5.8,8.3,21.9,101.6
Coenocorypha iredalei,56.1,44.9,4.8,7.2,22.7,NA
Coenocorypha pusilla,45.1,NA,4.7,6.9,21.1,99
Coereba flaveola,NA,NA,NA,NA,NA,NA
Colaptes aeruginosus,NA,NA,7.1,6.9,24,129.5
Colaptes atriceps,NA,NA,NA,8.5,24.8,125.5
Colaptes atricollis,31.95,24.6,7.45,7,24.4,117.5
Colaptes auratus,NA,NA,NA,NA,28.35,152.5
Colaptes auricularis,26.55,19.45,7,6.65,20.2,119.5
Colaptes cafer,42.25,30.65,8.55,7.9,29.85,166.5
Colaptes campestris,40,NA,10.2,9.2,28.9,157
Colaptes campestroides,39.65,NA,9.65,9.2,32.15,164.35
Colaptes chrysoides,36.2,NA,8.3,7.4,26.4,137
Colaptes cinereicapillus,53,42.6,10.55,8.75,30.7,167.7
Colaptes fernandinae,41.6,31.15,8.6,8.1,29.45,144.5
Colaptes melanochloros,30.05,NA,NA,7.7,22.9,131.6
Colaptes melanolaimus,39.05,28.95,9.15,8.9,26,149.95
Colaptes mexicanoides,43.1,31.15,8.85,8,27.85,151.2
Colaptes pitius,41.95,32.3,9.3,8.3,28.65,152.5
Colaptes punctigula,24.8,NA,NA,NA,20.95,109.5
Colaptes rivolii,32.55,NA,NA,NA,NA,130
Colaptes rubiginosus,NA,NA,NA,NA,21.4,126
Colaptes rupicola,49.2,NA,10.95,10.1,30.3,168
Colibri coruscans,NA,NA,NA,NA,NA,NA
Colibri delphinae,NA,NA,NA,2.2,NA,66.35
Colibri serrirostris,NA,NA,NA,NA,NA,67
Colibri thalassinus,NA,NA,NA,NA,NA,NA
Colinus cristatus,14.9,NA,6.1,NA,28.6,100
Colinus leucopogon,14.2,NA,6.5,8.1,26.1,103
Colinus nigrogularis,14.4,NA,7.3,9,28.1,102
Colinus virginianus,14.9,8.6,7.05,8.6,29.35,110
Colius castanotus,15.9,NA,8.7,9.2,22.5,97
Colius colius,13.7,NA,7.7,7.7,21,88
Colius leucocephalus,12.55,10.2,8,7.55,19.8,87.5
Colius striatus,15.05,NA,NA,NA,22.15,94
Collocalia esculenta,NA,NA,NA,NA,NA,NA
Collocalia linchi,5.5,1.75,1.9,1.85,9.25,NA
Collocalia troglodytes,5.95,1.7,1.75,1.55,8.75,92.5
Colluricincla boweri,26,NA,6.85,8.2,29.15,103.25
Colluricincla harmonica,26.3,NA,5.3,7.9,NA,123
Colluricincla megarhyncha,22.8,NA,5.1,6.6,NA,94
Colluricincla tenebrosa,NA,NA,NA,7.3,31.9,93
Colluricincla woodwardi,31,NA,5.9,7.3,NA,122.5
Colonia colonus,12.1,NA,NA,NA,15.05,80.4
Colorhamphus parvirostris,11.3,NA,3.4,2.7,17.4,61.5
Columba albinucha,25.4,11.5,4.2,4.6,24,183
Columba albitorques,21.1,NA,4.7,5.3,29,220
Columba argentina,30.5,NA,5.8,6.6,29.5,234
Columba arquatrix,28.2,NA,NA,NA,27.2,224
Columba bollii,25.3,NA,5.3,5.8,31.1,219
Columba delegorguei,20.9,NA,NA,NA,20.6,175
Columba elphinstonii,24.6,NA,4.4,NA,27,205
Columba eversmanni,18.8,NA,3.8,4.1,26.3,203
Columba guinea,25.2,NA,NA,NA,28.5,231
Columba hodgsonii,23.7,NA,4.4,NA,NA,230
Columba iriditorques,18.2,NA,3,4.4,20.1,155
Columba janthina,26.35,12.65,4.75,5.95,32.55,236
Columba junoniae,28.2,13.75,4.95,6.35,32.55,218.5
Columba leucomela,23.7,15,4.6,5.8,27.1,227
Columba leuconota,21.6,NA,4,4.3,29.2,229
Columba livia,23.3,NA,NA,5,26.9,218.5
Columba malherbii,21.4,NA,3.8,5,21,174
Columba oenas,NA,NA,NA,NA,NA,215
Columba oliviae,22.4,NA,3.8,NA,26.5,200
Columba pallidiceps,28.4,17.4,7.3,6.1,29,232
Columba palumboides,32.4,NA,6.8,NA,30.3,245
Columba palumbus,NA,NA,NA,NA,NA,245.5
Columba pollenii,26.8,NA,5.2,6.2,27.2,225
Columba pulchricollis,23.1,NA,4.3,NA,25.2,207
Columba punicea,24.8,NA,5.2,NA,26,220
Columba rupestris,19.7,NA,4.1,4.2,26.8,216
Columba sjostedti,24.15,10.6,4.35,5.45,24.7,218.5
Columba thomensis,27.2,13.6,5.7,6.5,26.8,233
Columba torringtoniae,24,11.4,4.5,5.55,25.3,194
Columba trocaz,26.2,NA,6.3,6.6,34.6,236
Columba unicincta,24.4,NA,4.3,5.3,26.1,215
Columba vitiensis,28.6,NA,5.6,6.4,28.5,217
Columbina buckleyi,14.9,8.35,2.45,2.85,16.35,85
Columbina cruziana,14.6,NA,3.2,3.4,16.4,86
Columbina cyanopis,9.9,6,2.4,2.8,15.1,67.6
Columbina inca,NA,NA,NA,3.15,NA,93
Columbina minuta,NA,NA,NA,NA,NA,75.8
Columbina passerina,NA,NA,NA,NA,NA,83.25
Columbina picui,14.9,NA,NA,4,13.25,87.9
Columbina squammata,15.35,NA,NA,3.55,15.65,95.15
Columbina talpacoti,NA,NA,NA,NA,NA,NA
Compsothraupis loricata,23.6,NA,NA,8.3,22.5,114
Conioptilon mcilhennyi,20.6,NA,NA,NA,24.2,146
Conirostrum albifrons,NA,NA,NA,NA,16.8,70
Conirostrum bicolor,13.6,NA,NA,3.3,17.9,61
Conirostrum binghami,22.4,NA,3.9,4.9,21,86
Conirostrum cinereum,NA,NA,NA,NA,18.4,NA
Conirostrum ferrugineiventre,NA,NA,NA,3.6,19.2,69.5
Conirostrum fraseri,12.9,NA,NA,NA,17.9,59.7
Conirostrum leucogenys,11.1,6.95,2.85,2.95,14.2,54
Conirostrum margaritae,12.9,8,3.55,3.75,16.95,59.5
Conirostrum rufum,13.3,7.2,2.7,3.3,18.85,63.5
Conirostrum sitticolor,NA,NA,NA,NA,NA,66.9
Conirostrum speciosum,11.4,NA,NA,NA,NA,55
Conirostrum tamarugense,10.4,NA,2.8,3.1,15.9,63
Conopias albovittatus,19.8,13.75,7.75,5.8,17.35,81.65
Conopias cinchoneti,19.7,NA,NA,NA,17.2,82.75
Conopias parvus,19.6,13.6,7.95,6.15,16.9,81.5
Conopias trivirgatus,16.5,10.55,5.9,4.75,15.05,65
Conopophaga ardesiaca,NA,NA,NA,4.4,30.4,70.5
Conopophaga aurita,NA,NA,5.65,4.45,26.1,68.65
Conopophaga castaneiceps,NA,NA,5.9,4.4,29,74.5
Conopophaga cearae,15.1,NA,NA,4.6,27.1,69
Conopophaga lineata,NA,NA,4.9,4.1,28.1,70
Conopophaga melanogaster,NA,11.4,6.2,5.2,33.65,78.7
Conopophaga melanops,NA,NA,NA,5,25.45,65.05
Conopophaga peruviana,NA,9.65,6.2,4.5,25.7,65.75
Conopophaga roberti,NA,NA,5.7,4.2,26.65,70.5
Conopophaga snethlageae,15.3,9.05,5.85,4.35,27.5,67.5
Conopophila albogularis,14.3,NA,2.8,3.1,NA,66.5
Conopophila rufogularis,13.4,NA,2.6,2.9,NA,70
Conopophila whitei,11.2,NA,2.5,2.7,16,62
Conostoma aemodium,25,NA,8.1,12.5,39.2,121
Conothraupis mesoleuca,14.5,10.1,5.7,7.8,17.3,66
Conothraupis speculigera,NA,10.2,6.1,7.8,22.9,76
Contopus albogularis,12.8,6.85,5,3.75,NA,61.1
Contopus bogotensis,NA,9.2,6.4,3.6,NA,71.5
Contopus caribaeus,16.1,11.9,NA,4,15.1,72
Contopus cinereus,14.3,NA,NA,3.6,12,71
Contopus cooperi,20.05,NA,8.65,6.3,14.85,104
Contopus fumigatus,NA,NA,NA,NA,15.6,92
Contopus hispaniolensis,17.45,10.05,6.05,3.6,14.75,73.75
Contopus latirostris,15.75,8.95,6.35,3.1,15.25,69.5
Contopus lugubris,21.75,11.6,7.05,4.95,15.25,92
Contopus nigrescens,13.45,7.2,4.8,3.15,11.95,66
Contopus ochraceus,19.3,12,7.8,4.8,15.7,89
Contopus pallidus,16.5,8.6,6,3.15,13.7,70.5
Contopus pertinax,23.3,13.4,7.8,5.45,17.15,NA
Contopus punensis,16.7,10.3,6.05,3.35,13.95,68.75
Contopus sordidulus,NA,NA,NA,NA,NA,83
Contopus virens,NA,NA,NA,NA,NA,81
Copsychus albospecularis,16.4,NA,4.2,5,24,72
Copsychus mindanensis,NA,NA,NA,NA,NA,NA
Copsychus pica,NA,NA,NA,NA,NA,NA
Copsychus saularis,22.7,NA,5.3,5.8,29.5,97
Copsychus sechellarum,25.7,NA,5.9,NA,37,117
Coracias abyssinicus,35.2,NA,9.25,12.4,21.65,154
Coracias affinis,43.7,NA,10.45,14.3,26.45,191.55
Coracias benghalensis,41.3,27.6,10.6,14.5,24.1,180
Coracias caudatus,40.35,NA,NA,NA,23,162.25
Coracias cyanogaster,38.85,25.6,9.85,14.4,25.7,174.5
Coracias garrulus,39.25,NA,9.7,13.25,23.5,191
Coracias naevius,44.5,NA,10.3,15.1,24.8,181
Coracias spatulatus,36.1,NA,8.9,12.2,22.9,165
Coracias temminckii,44.25,NA,13.55,17.6,23.9,182
Coracina atriceps,34,NA,12.2,12.2,25.6,161.5
Coracina bicolor,32.35,NA,12.45,10.95,NA,170.5
Coracina boyeri,22.55,NA,8.4,8,22.5,127
Coracina caeruleogrisea,41.4,NA,15.5,14.7,30.7,168
Coracina caledonica,36.85,NA,14.2,14.2,33.55,184.5
Coracina dobsoni,31.6,NA,12.2,11.2,25.3,160
Coracina fortis,35.8,NA,15.1,NA,30,169.5
Coracina javensis,NA,NA,12.45,11.5,25.4,158
Coracina larvata,28.25,NA,12.65,10.4,25.45,145.5
Coracina leucopygia,26.8,NA,10,9.5,25,151
Coracina lineata,23.2,NA,7.8,7.7,NA,140
Coracina longicauda,28.45,NA,11.05,10.05,32.75,178
Coracina macei,28.25,NA,12.7,10.85,26.55,167
Coracina maxima,25.9,NA,7.9,7.8,NA,203
Coracina novaehollandiae,30.2,NA,11.5,10.9,NA,192
Coracina panayensis,NA,NA,NA,NA,NA,NA
Coracina papuensis,32.6,NA,11.6,11.3,NA,155.5
Coracina personata,32.3,NA,12.5,12.1,28.4,162
Coracina schistacea,31.4,NA,11.7,12.1,26.9,157
Coracina striata,30.3,NA,12.1,11.3,24.2,147
Coracina temminckii,29.4,NA,NA,NA,NA,153.5
Coracina welchmani,40.65,NA,14.7,14.2,30.45,185.5
Coracopsis barklyi,26.2,18.8,11.9,NA,19.4,183
Coracopsis nigra,26.85,NA,13.65,NA,21.45,228
Coracopsis sibilans,26.6,18,12.3,18.2,NA,189
Coracopsis vasa,44.4,NA,22.4,35.7,30.2,309
Coracornis raveni,15,NA,4.8,NA,NA,81
Coracornis sanghirensis,24.2,NA,5.35,6.3,23.8,92
Coragyps atratus,NA,NA,14.95,16.25,73.2,416.5
Corapipo gutturalis,9.8,NA,3.2,3.2,NA,57
Corapipo leucorrhoa,NA,NA,NA,NA,16.25,NA
Corcorax melanorhamphos,49,NA,9.25,12.05,NA,245
Cormobates leucophaea,19.9,NA,2.7,NA,NA,87
Cormobates placens,16.15,8.3,2.8,3,20,83
Corvinella corvina,23.6,NA,8.7,9.6,32.6,119
Corvus albicollis,65,NA,NA,NA,75.5,429
Corvus albus,59.65,NA,NA,NA,62.15,355
Corvus bennetti,50.45,NA,NA,NA,NA,312.5
Corvus brachyrhynchos,51.4,NA,NA,NA,59.5,310
Corvus capensis,62.5,NA,NA,NA,65.7,319.5
Corvus caurinus,48.5,NA,NA,NA,51.8,279
Corvus corax,NA,NA,NA,NA,NA,417.5
Corvus corone,NA,NA,NA,NA,NA,324
Corvus coronoides,62.4,NA,NA,NA,NA,356
Corvus crassirostris,83.1,NA,NA,NA,78.7,445.5
Corvus cryptoleucus,55.55,NA,NA,NA,59.4,351.95
Corvus dauuricus,35.25,NA,NA,NA,44.8,232.75
Corvus edithae,51.7,NA,NA,NA,58.3,343
Corvus enca,60.6,NA,NA,NA,49.5,288
Corvus florensis,50.5,NA,12.5,16.7,49.7,223
Corvus frugilegus,NA,NA,NA,NA,NA,313.75
Corvus fuscicapillus,73.95,NA,17.8,NA,58.05,335.75
Corvus hawaiiensis,61.45,NA,19.75,24.95,66.9,321.5
Corvus imparatus,39.3,NA,NA,NA,39.7,244
Corvus insularis,59.6,NA,NA,NA,52.5,312.4
Corvus jamaicensis,47.5,NA,14.8,NA,45.8,225
Corvus kubaryi,55.15,NA,12.9,NA,52.4,233
Corvus leucognaphalus,60.2,NA,18.05,20.85,56.85,303
Corvus macrorhynchos,61.7,NA,NA,NA,56.9,NA
Corvus meeki,70.95,NA,18.7,24.15,57.55,292.5
Corvus mellori,55.3,NA,NA,NA,NA,332
Corvus monedula,NA,NA,NA,NA,NA,232
Corvus moneduloides,43.15,NA,NA,NA,47.2,237.2
Corvus nasicus,58,NA,13.45,18.85,52.35,269.5
Corvus orru,60.25,NA,NA,NA,NA,328
Corvus ossifragus,42.2,NA,NA,NA,46,276
Corvus palmarum,47.45,NA,11.45,16.45,51.05,246
Corvus pectoralis,56.9,NA,NA,NA,60.8,325
Corvus rhipidurus,56.9,NA,NA,NA,61.2,371
Corvus ruficollis,68.7,NA,NA,NA,67.8,395.5
Corvus sinaloae,43.8,NA,NA,NA,41,244
Corvus splendens,49.6,NA,NA,NA,46.2,259
Corvus tasmanicus,63.35,NA,NA,NA,NA,338.5
Corvus tristis,65,NA,NA,NA,58.1,320
Corvus typicus,47.65,NA,NA,NA,42.8,202.75
Corvus unicolor,46.4,NA,14.15,16.9,43.75,201.25
Corvus validus,78.55,NA,NA,NA,57.5,335.5
Corvus violaceus,49.55,NA,NA,NA,45.75,244.5
Corvus woodfordi,63.8,NA,NA,NA,52.45,NA
Corydon sumatranus,NA,NA,20.5,15.6,26.2,132
Corydospiza alaudina,14.9,NA,4.35,5.45,21.05,74.5
Corydospiza carbonaria,12,7.1,4.4,5.7,18.8,73
Coryphaspiza melanotis,13.6,NA,4.6,5.5,17.8,59
Coryphistera alaudina,NA,10.25,3.55,4.6,25.15,72.4
Coryphospingus cucullatus,NA,NA,NA,NA,19.1,64
Coryphospingus pileatus,NA,NA,NA,NA,NA,63.5
Corythaeola cristata,39.1,NA,NA,NA,55.5,317
Corythaixoides concolor,25.6,NA,8.2,13.4,39.1,211
Corythaixoides leopoldi,26.05,NA,8.1,13.35,39.3,207.5
Corythaixoides personatus,25.8,12.05,7.4,12.4,40.8,206.5
Corythopis delalandi,15.5,NA,3.8,3.3,23.3,65
Corythopis torquatus,NA,NA,NA,NA,NA,66.5
Corythornis cristatus,33.3,NA,5,6.2,7.8,54.5
Corythornis leucogaster,NA,NA,NA,NA,NA,55
Corythornis madagascariensis,29.4,NA,7.1,7.2,9.1,57
Corythornis nais,28,19.9,5.5,6.1,8.7,55.4
Corythornis thomensis,36.85,29.55,6.1,7.4,8.9,57.85
Corythornis vintsioides,31.6,NA,5.1,6.4,8.6,59.1
Coscoroba coscoroba,64.15,40.2,27.35,19.15,81.75,421
Cossypha albicapillus,23.8,NA,5,5.9,33.7,127
Cossypha cyanocampter,18,NA,3.9,4.2,26.7,85
Cossypha dichroa,19,NA,4.2,5.3,30.1,98
Cossypha heinrichi,22.5,13.4,5.1,5.7,34,114
Cossypha heuglini,19.4,NA,NA,NA,NA,NA
Cossypha natalensis,17.8,NA,NA,NA,NA,91
Cossypha niveicapilla,20.1,NA,NA,NA,28.7,98.5
Cossypha semirufa,16.5,NA,NA,NA,29.7,78
Cossyphicula roberti,NA,NA,NA,NA,NA,66.5
Cotinga amabilis,16.6,NA,NA,NA,21.5,NA
Cotinga cayana,NA,NA,NA,NA,20.75,111.2
Cotinga cotinga,16.6,NA,5.4,4.7,19.4,106
Cotinga maculata,17.6,9.75,5.8,5.3,22.65,112.5
Cotinga maynana,19.2,NA,NA,NA,22.65,114.5
Cotinga nattererii,18.4,10.3,6.05,5.7,21.95,111
Cotinga ridgwayi,17.05,8.75,5.25,5.15,20.15,102.5
Coturnicops exquisitus,12.5,6.6,2.1,3.55,21.85,74.5
Coturnicops notatus,12.8,7,2.6,4.25,21.75,NA
Coturnicops noveboracensis,15.45,7.5,2.35,4.95,23.1,86.5
Coturnix coromandelica,13.7,7.05,4.65,4.75,22.95,88
Coturnix coturnix,15.7,NA,NA,NA,24,107
Coturnix delegorguei,14.1,NA,4.9,5.2,24.1,92
Coturnix japonica,14.9,NA,4.7,5.2,24.5,97
Coturnix pectoralis,14.6,NA,6,5.7,23,99
Coua caerulea,29.3,15.3,8,10.05,57.4,195
Coua coquereli,25.15,12.5,5.4,8.4,48,143.5
Coua cristata,25.9,NA,6.8,9.1,39.9,137
Coua cursor,26.2,NA,4.8,7.3,44.1,131
Coua gigas,36.1,NA,7.1,12.3,66.6,213
Coua olivaceiceps,27.25,13,6.05,8.7,52.25,NA
Coua pyropyga,23.95,11.95,6.6,9.1,42.7,164.25
Coua reynaudii,25.2,NA,5.9,8.8,45.5,136
Coua ruficeps,27.75,13.7,6.25,8.6,57.7,166
Coua serriana,28.6,NA,7.4,11.4,58.7,168
Coua verreauxi,21.5,NA,6.3,8.2,37.7,130
Cracticus argenteus,NA,NA,NA,NA,NA,NA
Cracticus cassicus,50.95,NA,12.95,16.95,33.9,158
Cracticus louisiadensis,48.1,NA,14.1,18,34.5,165
Cracticus mentalis,38.25,NA,8.4,12.2,27.9,140.75
Cracticus nigrogularis,44.45,NA,9.5,13.55,NA,171.5
Cracticus torquatus,41.35,NA,9.1,12.3,NA,145
Cranioleuca albicapilla,NA,NA,3.2,NA,NA,73
Cranioleuca albiceps,NA,NA,NA,4.2,21.7,64
Cranioleuca antisiensis,NA,NA,2.9,3.8,20.4,65
Cranioleuca baroni,NA,NA,3,4.3,23.1,78
Cranioleuca berlepschi,NA,10.3,3.3,4,22.05,72.1
Cranioleuca curtata,NA,8.8,3.1,3.7,17.9,64
Cranioleuca demissa,NA,8.9,3.2,3.5,17.3,60.5
Cranioleuca dissita,NA,9.1,3.2,3.8,16.9,61.5
Cranioleuca erythrops,NA,NA,NA,NA,18.85,64.5
Cranioleuca hellmayri,NA,NA,NA,NA,18.8,63.65
Cranioleuca henricae,15.75,NA,2.65,3.85,17.85,66.5
Cranioleuca marcapatae,NA,9.7,3.1,3.9,22.4,68
Cranioleuca muelleri,NA,10.55,3.3,4.2,18.95,73.25
Cranioleuca obsoleta,NA,8,2.5,3.25,17.45,55.8
Cranioleuca pallida,NA,8.5,2.7,NA,17.25,61.6
Cranioleuca pyrrhophia,NA,10,2.7,3.4,18.1,61.5
Cranioleuca semicinerea,NA,NA,NA,3.85,NA,64.35
Cranioleuca subcristata,NA,9.65,2.75,3.45,17.9,64.15
Cranioleuca sulphurifera,NA,10.1,2.7,3.4,18.6,56.8
Cranioleuca vulpecula,NA,NA,3.4,4.2,19.8,70.15
Cranioleuca vulpina,NA,NA,3.1,3.7,18.65,64.55
Cranioleuca weskei,NA,NA,NA,NA,NA,NA
Crateroscelis murina,15,NA,3.75,NA,NA,61
Crateroscelis nigrorufa,16.1,NA,3.35,3.45,NA,61
Crateroscelis robusta,15.9,NA,3.05,3.3,NA,63.5
Crax alberti,52.4,NA,12.6,21.2,108.5,396
Crax alector,57.8,NA,13.9,23.2,114.6,395
Crax blumenbachii,43.9,23.45,14.65,23.35,NA,NA
Crax daubentoni,52.5,NA,12.4,20.5,100.7,377
Crax fasciolata,48.25,NA,NA,NA,99.5,353
Crax globulosa,47.75,22.05,12.55,20.9,97.4,352
Crax pinima,49.2,NA,NA,NA,95,295
Crax rubra,52.45,25,11.55,20.85,104.55,380
Creagrus furcatus,62.15,26.75,6.25,12.8,51.1,409.5
Creatophora cinerea,25.55,NA,NA,NA,29.5,118.75
Creurgops dentatus,NA,NA,NA,5.9,19.7,69
Creurgops verticalis,20.6,NA,NA,NA,19.25,78
Crex crex,25.1,NA,3.7,6.4,40.4,135
Crex egregia,25.7,NA,3.7,6.8,45.4,122
Crinifer piscator,29.7,NA,12.3,16.1,41.7,223
Crinifer zonurus,30.5,NA,11.2,14.5,43.4,248
Criniferoides leucogaster,28.6,NA,NA,NA,42.2,220
Criniger barbatus,21.25,NA,5.95,6.5,24.45,104
Criniger calurus,NA,NA,NA,NA,NA,86.5
Criniger chloronotus,NA,NA,NA,NA,NA,99
Criniger ndussumensis,NA,NA,NA,NA,NA,86
Criniger olivaceus,18,NA,3.7,5.1,21.3,85
Crithagra albogularis,16.2,NA,7.3,9.8,19.3,80
Crithagra ankoberensis,10.1,6.8,4.1,5.4,14.4,73
Crithagra atrogularis,11,NA,4.5,5.8,13.6,71
Crithagra buchanani,17.7,NA,8.6,10.8,18.3,88
Crithagra burtoni,17.6,NA,NA,NA,20.6,88
Crithagra canicapilla,13.15,8.35,5.9,7.05,13.85,77
Crithagra capistrata,11.8,NA,4.8,6.6,12.7,60
Crithagra citrinelloides,12.2,NA,NA,NA,14,67
Crithagra citrinipectus,10.6,6.9,5.8,6.3,13.6,61
Crithagra concolor,24.1,16.1,10.5,15.3,23.8,107
Crithagra donaldsoni,16.7,NA,8.3,9.9,16.8,83
Crithagra dorsostriata,11.9,NA,NA,NA,15.6,73.5
Crithagra flavigula,10.3,7.8,4.8,6.5,12.4,67
Crithagra flaviventris,11.75,NA,5.55,7.15,17.7,70.25
Crithagra frontalis,12.85,8.95,4.6,5.85,12.9,63.5
Crithagra gularis,14.3,NA,NA,NA,16.8,78
Crithagra hyposticta,12.55,NA,5.05,NA,NA,65
Crithagra koliensis,11.7,7.65,4.75,6.9,14.15,61.5
Crithagra leucoptera,11.8,9.7,7.2,9.1,18.4,69
Crithagra leucopygia,10.1,NA,4.5,5.6,12.6,68
Crithagra melanochroa,15.75,10.3,7.85,10.35,18.6,82
Crithagra menachensis,10.65,6.75,4.6,5.85,14.2,70
Crithagra mennelli,13,NA,6.1,6.7,14.1,79.5
Crithagra mozambica,10.5,NA,NA,NA,14,68
Crithagra reichardi,12.6,NA,5.2,6.5,14.7,79
Crithagra reichenowi,10.75,NA,NA,NA,12.5,68
Crithagra rothschildi,12.2,NA,5.5,7.1,15.1,65
Crithagra rufobrunnea,16.35,10.5,6.2,8.15,19.95,78.25
Crithagra scotops,12.9,NA,5.4,7.2,16,69
Crithagra striatipectus,NA,NA,NA,NA,NA,NA
Crithagra striolata,13.95,NA,NA,NA,20.5,67.5
Crithagra sulphurata,13.85,NA,NA,NA,18.35,76.5
Crithagra symonsi,12.8,NA,5.1,6.7,16.3,76
Crithagra totta,11.9,7.8,4.7,6.15,15.25,68.75
Crithagra tristriata,12.9,NA,4.9,6.1,17.5,68
Crithagra xantholaema,11.8,7.6,5.1,6.5,13.7,64
Crithagra xanthopygia,11.1,NA,4.8,5.7,13.9,69
Crossleyia tenebrosa,15.45,7.6,2.95,3.75,23.35,67.5
Crossleyia xanthophrys,14.9,7.5,2.8,3.1,25.6,68
Crossoptilon auritum,43.05,30.3,17.25,16.15,87.25,294
Crossoptilon crossoptilon,51,NA,18.9,17.6,94.5,310
Crossoptilon harmani,43.7,32.4,17.85,16.15,83.2,282
Crossoptilon mantchuricum,47.35,31.35,17.85,15.7,93.5,289.5
Crotophaga ani,30.1,NA,NA,NA,35.45,NA
Crotophaga major,46.55,NA,13.7,21.75,41.6,194
Crotophaga sulcirostris,NA,17.6,9,16.3,32.6,128.5
Crypsirina cucullata,22.2,NA,7.65,10.2,26.85,107
Crypsirina temia,27.4,NA,9.9,11.8,27.3,118
Cryptillas victorini,14.4,7,2.55,3.1,20.75,52
Cryptoleucopteryx plumbea,32,NA,11.3,16.1,58.6,238
Cryptolybia olivacea,17.9,NA,7.8,8.6,21.7,88
Cryptomicroeca flaviventris,13.55,7.75,3.9,3.15,19.1,73.5
Cryptophaps poecilorrhoa,26.3,11.7,6.5,5.7,34.8,232
Cryptopipo holochlora,14.8,NA,NA,NA,15.6,72
Cryptopipo litae,13.2,7.4,4.4,4.5,14,69
Cryptospiza jacksoni,11.1,NA,5.5,6.3,18.4,57
Cryptospiza reichenovii,NA,NA,NA,NA,NA,53
Cryptospiza salvadorii,10.8,NA,NA,NA,16.9,56
Cryptospiza shelleyi,12.1,9.5,6.8,8,21.4,64
Cryptosylvicola randrianasoloi,13.65,7.3,2.45,2.8,17.05,50
Crypturellus atrocapillus,32.2,NA,NA,NA,51.7,170
Crypturellus bartletti,NA,NA,NA,NA,41.65,134.5
Crypturellus berlepschi,28.5,10.3,4.8,6.4,54,168
Crypturellus boucardi,28.8,NA,5.4,4.7,50.5,165
Crypturellus brevirostris,27.2,9.6,5,4.8,44.7,142
Crypturellus casiquiare,25.05,8.9,4.3,4.4,NA,135.2
Crypturellus cinereus,30.35,NA,NA,NA,51.95,164.5
Crypturellus cinnamomeus,26,NA,5.4,4.7,44.2,155.6
Crypturellus duidae,31.2,12.1,5.35,5.75,48.9,161.6
Crypturellus erythropus,28.2,NA,4.9,4.4,47.1,156
Crypturellus kerriae,31.2,10.6,5.1,4.8,49.6,154.1
Crypturellus noctivagus,32.8,12.5,6.1,5.3,53.7,182
Crypturellus obsoletus,NA,NA,NA,NA,NA,160
Crypturellus occidentalis,29,11.55,5.75,5.4,43.25,167.1
Crypturellus parvirostris,19.6,NA,NA,NA,26.2,110.5
Crypturellus ptaritepui,29.6,9,4.6,5.8,51.2,136
Crypturellus soui,NA,NA,NA,NA,37.05,NA
Crypturellus strigulosus,31.7,NA,NA,NA,47.1,162
Crypturellus tataupa,25.9,NA,NA,5.2,34.9,125
Crypturellus transfasciatus,26.2,NA,5.2,4.8,46.2,150
Crypturellus undulatus,31.6,NA,NA,NA,46.9,171
Crypturellus variegatus,32.9,NA,NA,NA,40.6,154
Cuculus canorus,25.7,NA,NA,NA,NA,180
Cuculus clamosus,29.1,NA,8.1,9.9,33,181
Cuculus crassirostris,33.5,19.7,9,10.7,27.3,206
Cuculus gularis,27.3,NA,7.8,8.1,22,208
Cuculus lepidus,23.9,NA,6.5,6.9,18.1,154.2
Cuculus micropterus,29.7,NA,8.6,9.3,19.4,197
Cuculus poliocephalus,22.2,NA,6.1,6,18.3,153
Cuculus rochii,22.6,NA,5.9,NA,18.1,165
Cuculus saturatus,25.2,NA,6.4,7.7,23.1,182
Cuculus solitarius,24.55,NA,7.35,7.4,20.45,185.5
Culicicapa ceylonensis,11.9,NA,3.8,2.6,12.4,59
Culicicapa helianthea,NA,NA,NA,NA,NA,57
Culicivora caudacuta,11.15,NA,3.75,NA,15.45,41
Curaeus curaeus,31.45,20.55,6.95,9.65,34.1,124.5
Cursorius coromandelicus,21.9,NA,5,4.6,50.7,144
Cursorius cursor,27.05,16.9,4.9,4.45,50.65,152
Cursorius rufus,23,NA,4.5,4.3,47,133
Cursorius somalensis,26.75,16.65,4.5,4.55,52.4,129
Cursorius temminckii,20.7,NA,4.4,4.2,40.7,122
Cutia legalleni,22,NA,4.5,5.9,26.9,87
Cutia nipalensis,21.45,12.05,4.65,6.1,28.3,88
Cyanecula svecica,NA,NA,NA,NA,NA,74.5
Cyanerpes caeruleus,NA,NA,NA,NA,14,56
Cyanerpes cyaneus,19.4,NA,NA,NA,13.7,61.9
